data_boletim,start_date,end_date,t (dias),vnr,azb,avb,avc,vp,alc,unf,total,ND,conc
15-abr-2022,7-abr-2022,14-abr-2022,740,4,117,20,88,13,49,35,326,0,326
22-abr-2022,15-abr-2022,21-abr-2022,747,3,100,14,60,11,45,28,261,0,261
29-abr-2022,22-abr-2022,28-abr-2022,754,3,110,13,53,6,29,21,235,0,235
6-mai-2022,29-abr-2022,5-mai-2022,761,10,130,18,44,7,34,23,266,0,266
13-mai-2022,6-mai-2022,12-mai-2022,768,14,184,29,74,17,69,39,426,0,426
20-mai-2022,13-mai-2022,19-mai-2022,775,25,260,40,153,36,77,54,645,0,645
27-mai-2022,20-mai-2022,26-mai-2022,782,,,,,,,,,,
3-jun-2022,27-mai-2022,2-jun-2022,789,14,313,24,194,24,54,40,663,0,663
10-jun-2022,3-jun-2022,9-jun-2022,796,25,378,35,113,29,84,56,720,0,720
17-jun-2022,10-jun-2022,16-jun-2022,803,9,195,27,66,22,66,48,433,10,443
24-jun-2022,17-jun-2022,23-jun-2022,810,8,124,20,57,14,43,30,296,0,296
1-jul-2022,24-jun-2022,30-jun-2022,817,3,104,15,40,9,37,25,233,0,233
8-jul-2022,1-jul-2022,7-jul-2022,824,9,72,12,41,5,16,16,171,0,171
15-jul-2022,8-jul-2022,14-jul-2022,831,,,,,,,,,,
22-jul-2022,15-jul-2022,21-jul-2022,838,,22,5,11,,13,7,58,3,61
